Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1137766,2000,ZOMAOPT,ETERNAL25JUN275PE,12-JUN-2025,OPTSTK,PE,275,0.05,
BFO,1129549,2000,ZOMAOPT,ETERNAL25JUN270PE,12-JUN-2025,OPTSTK,PE,270,0.05,
BFO,889540,2000,ZOMAOPT,ETERNAL25JUN265PE,12-JUN-2025,OPTSTK,PE,265,0.05,
BFO,888211,2000,ZOMAOPT,ETERNAL25JUN260PE,12-JUN-2025,OPTSTK,PE,260,0.05,
BFO,886934,2000,ZOMAOPT,ETERNAL25JUN255PE,12-JUN-2025,OPTSTK,PE,255,0.05,
BFO,886884,2000,ZOMAOPT,ETERNAL25JUN250PE,12-JUN-2025,OPTSTK,PE,250,0.05,
BFO,887360,2000,ZOMAOPT,ETERNAL25JUN245PE,12-JUN-2025,OPTSTK,PE,245,0.05,
BFO,886516,2000,ZOMAOPT,ETERNAL25JUN240PE,12-JUN-2025,OPTSTK,PE,240,0.05,
BFO,879728,2000,ZOMAOPT,ETERNAL25JUN235PE,12-JUN-2025,OPTSTK,PE,235,0.05,
BFO,879566,2000,ZOMAOPT,ETERNAL25JUN230PE,12-JUN-2025,OPTSTK,PE,230,0.05,
BFO,881374,2000,ZOMAOPT,ETERNAL25JUN225PE,12-JUN-2025,OPTSTK,PE,225,0.05,
BFO,881196,2000,ZOMAOPT,ETERNAL25JUN220PE,12-JUN-2025,OPTSTK,PE,220,0.05,
BFO,882970,2000,ZOMAOPT,ETERNAL25JUN215PE,12-JUN-2025,OPTSTK,PE,215,0.05,
BFO,882789,2000,ZOMAOPT,ETERNAL25JUN210PE,12-JUN-2025,OPTSTK,PE,210,0.05,
BFO,884577,2000,ZOMAOPT,ETERNAL25JUN205PE,12-JUN-2025,OPTSTK,PE,205,0.05,
BFO,884380,2000,ZOMAOPT,ETERNAL25JUN200PE,12-JUN-2025,OPTSTK,PE,200,0.05,
BFO,885565,2000,ZOMAOPT,ETERNAL25JUN195PE,12-JUN-2025,OPTSTK,PE,195,0.05,
BFO,885372,2000,ZOMAOPT,ETERNAL25JUN190PE,12-JUN-2025,OPTSTK,PE,190,0.05,
BFO,880270,2000,ZOMAOPT,ETERNAL25JUN185PE,12-JUN-2025,OPTSTK,PE,185,0.05,
BFO,880085,2000,ZOMAOPT,ETERNAL25JUN180PE,12-JUN-2025,OPTSTK,PE,180,0.05,
BFO,881886,2000,ZOMAOPT,ETERNAL25JUN175PE,12-JUN-2025,OPTSTK,PE,175,0.05,
BFO,881719,2000,ZOMAOPT,ETERNAL25JUN170PE,12-JUN-2025,OPTSTK,PE,170,0.05,
BFO,883510,2000,ZOMAOPT,ETERNAL25JUN165PE,12-JUN-2025,OPTSTK,PE,165,0.05,
BFO,1138309,2000,ZOMAOPT,ETERNAL25JUN275CE,12-JUN-2025,OPTSTK,CE,275,0.05,
BFO,1134939,2000,ZOMAOPT,ETERNAL25JUN270CE,12-JUN-2025,OPTSTK,CE,270,0.05,
BFO,889292,2000,ZOMAOPT,ETERNAL25JUN265CE,12-JUN-2025,OPTSTK,CE,265,0.05,
BFO,887955,2000,ZOMAOPT,ETERNAL25JUN260CE,12-JUN-2025,OPTSTK,CE,260,0.05,
BFO,887508,2000,ZOMAOPT,ETERNAL25JUN255CE,12-JUN-2025,OPTSTK,CE,255,0.05,
BFO,887457,2000,ZOMAOPT,ETERNAL25JUN250CE,12-JUN-2025,OPTSTK,CE,250,0.05,
BFO,887026,2000,ZOMAOPT,ETERNAL25JUN245CE,12-JUN-2025,OPTSTK,CE,245,0.05,
BFO,886281,2000,ZOMAOPT,ETERNAL25JUN240CE,12-JUN-2025,OPTSTK,CE,240,0.05,
BFO,882637,2000,ZOMAOPT,ETERNAL25JUN235CE,12-JUN-2025,OPTSTK,CE,235,0.05,
BFO,882440,2000,ZOMAOPT,ETERNAL25JUN230CE,12-JUN-2025,OPTSTK,CE,230,0.05,
BFO,884239,2000,ZOMAOPT,ETERNAL25JUN225CE,12-JUN-2025,OPTSTK,CE,225,0.05,
BFO,884048,2000,ZOMAOPT,ETERNAL25JUN220CE,12-JUN-2025,OPTSTK,CE,220,0.05,
BFO,878957,2000,ZOMAOPT,ETERNAL25JUN215CE,12-JUN-2025,OPTSTK,CE,215,0.05,
BFO,878750,2000,ZOMAOPT,ETERNAL25JUN210CE,12-JUN-2025,OPTSTK,CE,210,0.05,
BFO,880586,2000,ZOMAOPT,ETERNAL25JUN205CE,12-JUN-2025,OPTSTK,CE,205,0.05,
BFO,880378,2000,ZOMAOPT,ETERNAL25JUN200CE,12-JUN-2025,OPTSTK,CE,200,0.05,
BFO,881567,2000,ZOMAOPT,ETERNAL25JUN195CE,12-JUN-2025,OPTSTK,CE,195,0.05,
BFO,881397,2000,ZOMAOPT,ETERNAL25JUN190CE,12-JUN-2025,OPTSTK,CE,190,0.05,
BFO,883176,2000,ZOMAOPT,ETERNAL25JUN185CE,12-JUN-2025,OPTSTK,CE,185,0.05,
BFO,882988,2000,ZOMAOPT,ETERNAL25JUN180CE,12-JUN-2025,OPTSTK,CE,180,0.05,
BFO,884775,2000,ZOMAOPT,ETERNAL25JUN175CE,12-JUN-2025,OPTSTK,CE,175,0.05,
BFO,884594,2000,ZOMAOPT,ETERNAL25JUN170CE,12-JUN-2025,OPTSTK,CE,170,0.05,
